Order ID,Order Date,Customer,Product,Category,"City, Country",Quantity,Unit Price,Sales Amount
ORD-10001,01-Jan-2025,Atlas Stores,Wireless Mouse,Electronics,"Dubai, United Arab Emirates",1,22.75,22.75
ORD-10247,08-Mar-2025,Blue Wave,Whiteboard,Office Supplies,"Cairo, Egypt",7,57.25,400.75
ORD-10274,04-May-2025,Vertex Shop,Laptop Stand,Office Supplies,"Doha, Qatar",6,35.75,214.50
ORD-10236,05-Jul-2025,Horizon LLC,Ergonomic Chair,Furniture,"Casablanca, Morocco",8,188.75,1510.00
ORD-10087,15-Aug-2025,Nile Trading,Whiteboard,Office Supplies,"Riyadh, Saudi Arabia",7,57.25,400.75
ORD-10225,06-Mar-2025,Summit Co.,USB-C Hub,Electronics,"Manama, Bahrain",1,41.25,41.25
ORD-10350,28-Aug-2025,City Mart,Filing Cabinet,Furniture,"Alexandria, Egypt",2,97.75,195.50
ORD-10214,03-Jul-2025,Vertex Shop,Laptop Stand,Office Supplies,"Doha, Qatar",2,35.75,71.50
ORD-10163,13-Apr-2025,Blue Wave,Monitor 24 inch,Electronics,"Muscat, Oman",3,152.49,457.47
ORD-10203,04-Mar-2025,Delta Retail,Monitor 24 inch,Electronics,"Amman, Jordan",3,152.49,457.47
ORD-10449,09-May-2025,Oasis Supplies,Notebook Set,Stationery,"Abu Dhabi, United Arab Emirates",1,12.40,12.40
ORD-10192,01-Jul-2025,Cedar Group,Desk Lamp,Office Supplies,"Riyadh, Saudi Arabia",4,33.65,134.60
ORD-10438,08-Jan-2025,Bright Office,Mechanical Keyboard,Electronics,"Giza, Egypt",2,69.25,138.50
ORD-10181,02-Mar-2025,Atlas Stores,Wireless Mouse,Electronics,"Dubai, United Arab Emirates",5,22.75,113.75
ORD-10427,07-May-2025,Blue Wave,Whiteboard,Office Supplies,"Cairo, Egypt",3,57.25,171.75
ORD-10170,29-Jun-2025,City Mart,Filing Cabinet,Furniture,"Alexandria, Egypt",6,97.75,586.50
ORD-10416,06-Jan-2025,Horizon LLC,Ergonomic Chair,Furniture,"Casablanca, Morocco",4,188.75,755.00
ORD-10159,28-Feb-2025,Nile Trading,Notebook Set,Stationery,"Tunis, Tunisia",7,14.90,104.30
ORD-10405,05-May-2025,Summit Co.,USB-C Hub,Electronics,"Manama, Bahrain",5,41.25,206.25
ORD-10148,27-Jun-2025,Palm Market,Mechanical Keyboard,Electronics,"Muscat, Oman",8,71.75,574.00
ORD-10394,04-Jan-2025,Vertex Shop,Laptop Stand,Office Supplies,"Doha, Qatar",6,35.75,214.50
ORD-10137,26-Feb-2025,Oasis Supplies,Whiteboard,Office Supplies,"Kuwait City, Kuwait",1,54.75,54.75
ORD-10383,03-May-2025,Delta Retail,Monitor 24 inch,Electronics,"Amman, Jordan",7,152.49,1067.43
ORD-10126,25-Jun-2025,Bright Office,Ergonomic Chair,Furniture,"Beirut, Lebanon",2,186.25,372.50
ORD-10372,02-Jan-2025,Cedar Group,Desk Lamp,Office Supplies,"Riyadh, Saudi Arabia",8,33.65,269.20
ORD-10115,24-Feb-2025,Blue Wave,USB-C Hub,Electronics,"Jeddah, Saudi Arabia",3,43.75,131.25
ORD-10361,01-May-2025,Atlas Stores,Wireless Mouse,Electronics,"Dubai, United Arab Emirates",1,22.75,22.75
ORD-10104,23-Jun-2025,Horizon LLC,Laptop Stand,Office Supplies,"Abu Dhabi, United Arab Emirates",4,38.25,153.00
ORD-10350,28-Aug-2025,City Mart,Filing Cabinet,Furniture,"Alexandria, Egypt",2,97.75,195.50
ORD-10093,22-Feb-2025,Summit Co.,Monitor 24 inch,Electronics,"Giza, Egypt",5,149.99,749.95
ORD-10339,29-Apr-2025,Nile Trading,Notebook Set,Stationery,"Tunis, Tunisia",3,14.90,44.70
ORD-10082,21-Jun-2025,Vertex Shop,Desk Lamp,Office Supplies,"Cairo, Egypt",6,31.15,186.90
ORD-10328,26-Aug-2025,Palm Market,Mechanical Keyboard,Electronics,"Muscat, Oman",4,71.75,287.00
ORD-10071,20-Feb-2025,Delta Retail,Wireless Mouse,Electronics,"Casablanca, Morocco",7,25.25,176.75
ORD-10317,27-Apr-2025,Oasis Supplies,Whiteboard,Office Supplies,"Kuwait City, Kuwait",5,54.75,273.75
ORD-10060,19-Jun-2025,Cedar Group,Filing Cabinet,Furniture,"Manama, Bahrain",8,100.25,802.00
ORD-10306,24-Aug-2025,Bright Office,Ergonomic Chair,Furniture,"Beirut, Lebanon",6,186.25,1117.50
ORD-10049,18-Feb-2025,Atlas Stores,Notebook Set,Stationery,"Doha, Qatar",1,12.40,12.40
ORD-10295,25-Apr-2025,Blue Wave,USB-C Hub,Electronics,"Jeddah, Saudi Arabia",7,43.75,306.25
ORD-10038,17-Jun-2025,City Mart,Mechanical Keyboard,Electronics,"Amman, Jordan",2,69.25,138.50
ORD-10284,22-Aug-2025,Horizon LLC,Laptop Stand,Office Supplies,"Abu Dhabi, United Arab Emirates",8,38.25,306.00
ORD-10027,16-Feb-2025,Nile Trading,Whiteboard,Office Supplies,"Riyadh, Saudi Arabia",3,57.25,171.75
ORD-10273,23-Apr-2025,Summit Co.,Monitor 24 inch,Electronics,"Giza, Egypt",1,149.99,149.99
ORD-10016,15-Jun-2025,Palm Market,Ergonomic Chair,Furniture,"Dubai, United Arab Emirates",4,188.75,755.00
ORD-10262,20-Aug-2025,Vertex Shop,Desk Lamp,Office Supplies,"Cairo, Egypt",2,31.15,62.30
ORD-10005,14-Feb-2025,Oasis Supplies,USB-C Hub,Electronics,"Alexandria, Egypt",5,41.25,206.25
ORD-10251,21-Apr-2025,Delta Retail,Wireless Mouse,Electronics,"Casablanca, Morocco",3,25.25,75.75
ORD-10342,01-Jun-2025,Bright Office,Desk Lamp,Office Supplies,"Riyadh, Saudi Arabia",2,31.15,62.30
ORD-10240,18-Aug-2025,Cedar Group,Filing Cabinet,Furniture,"Manama, Bahrain",4,100.25,401.00
ORD-10155,15-Jan-2025,Delta Retail,USB-C Hub,Electronics,"Alexandria, Egypt",3,43.75,131.25
ORD-10229,19-Apr-2025,Atlas Stores,Notebook Set,Stationery,"Doha, Qatar",5,12.40,62.00
ORD-10418,28-Jan-2025,Vertex Shop,Mechanical Keyboard,Electronics,"Muscat, Oman",6,69.25,415.50
ORD-10218,16-Aug-2025,City Mart,Mechanical Keyboard,Electronics,"Amman, Jordan",6,69.25,415.50
ORD-10231,11-May-2025,Nile Trading,Wireless Mouse,Electronics,"Beirut, Lebanon",7,25.25,176.75
ORD-10207,17-Apr-2025,Nile Trading,Whiteboard,Office Supplies,"Riyadh, Saudi Arabia",7,57.25,400.75
ORD-10044,22-Aug-2025,Horizon LLC,Laptop Stand,Office Supplies,"Abu Dhabi, United Arab Emirates",8,38.25,306.00
ORD-10196,14-Aug-2025,Palm Market,Ergonomic Chair,Furniture,"Dubai, United Arab Emirates",8,188.75,1510.00
ORD-10442,21-Feb-2025,Vertex Shop,Desk Lamp,Office Supplies,"Cairo, Egypt",6,31.15,186.90
ORD-10185,15-Apr-2025,Oasis Supplies,USB-C Hub,Electronics,"Alexandria, Egypt",1,41.25,41.25
ORD-10431,20-Jun-2025,Delta Retail,Wireless Mouse,Electronics,"Casablanca, Morocco",7,25.25,176.75
ORD-10174,12-Aug-2025,Bright Office,Laptop Stand,Office Supplies,"Tunis, Tunisia",2,35.75,71.50
ORD-10420,19-Feb-2025,Cedar Group,Filing Cabinet,Furniture,"Manama, Bahrain",8,100.25,802.00
ORD-10163,13-Apr-2025,Blue Wave,Monitor 24 inch,Electronics,"Muscat, Oman",3,152.49,457.47
ORD-10409,18-Jun-2025,Atlas Stores,Notebook Set,Stationery,"Doha, Qatar",1,12.40,12.40
ORD-10152,10-Aug-2025,Horizon LLC,Desk Lamp,Office Supplies,"Kuwait City, Kuwait",4,33.65,134.60
ORD-10398,17-Feb-2025,City Mart,Mechanical Keyboard,Electronics,"Amman, Jordan",2,69.25,138.50
ORD-10141,11-Apr-2025,Summit Co.,Wireless Mouse,Electronics,"Beirut, Lebanon",5,22.75,113.75
ORD-10387,16-Jun-2025,Nile Trading,Whiteboard,Office Supplies,"Riyadh, Saudi Arabia",3,57.25,171.75
ORD-10130,08-Aug-2025,Vertex Shop,Filing Cabinet,Furniture,"Jeddah, Saudi Arabia",6,97.75,586.50
ORD-10376,15-Feb-2025,Palm Market,Ergonomic Chair,Furniture,"Dubai, United Arab Emirates",4,188.75,755.00
ORD-10119,09-Apr-2025,Delta Retail,Notebook Set,Stationery,"Abu Dhabi, United Arab Emirates",7,14.90,104.30
ORD-10365,14-Jun-2025,Oasis Supplies,USB-C Hub,Electronics,"Alexandria, Egypt",5,41.25,206.25
ORD-10108,06-Aug-2025,Cedar Group,Mechanical Keyboard,Electronics,"Giza, Egypt",8,71.75,574.00
ORD-10354,13-Feb-2025,Bright Office,Laptop Stand,Office Supplies,"Tunis, Tunisia",6,35.75,214.50
ORD-10097,07-Apr-2025,Atlas Stores,Whiteboard,Office Supplies,"Cairo, Egypt",1,54.75,54.75
ORD-10343,12-Jun-2025,Blue Wave,Monitor 24 inch,Electronics,"Muscat, Oman",7,152.49,1067.43
ORD-10086,04-Aug-2025,City Mart,Ergonomic Chair,Furniture,"Casablanca, Morocco",2,186.25,372.50
ORD-10332,11-Feb-2025,Horizon LLC,Desk Lamp,Office Supplies,"Kuwait City, Kuwait",8,33.65,269.20
ORD-10075,05-Apr-2025,Nile Trading,USB-C Hub,Electronics,"Manama, Bahrain",3,43.75,131.25
ORD-10321,10-Jun-2025,Summit Co.,Wireless Mouse,Electronics,"Beirut, Lebanon",1,22.75,22.75
ORD-10064,02-Aug-2025,Palm Market,Laptop Stand,Office Supplies,"Doha, Qatar",4,38.25,153.00
ORD-10310,09-Feb-2025,Vertex Shop,Filing Cabinet,Furniture,"Jeddah, Saudi Arabia",2,97.75,195.50
ORD-10053,03-Apr-2025,Oasis Supplies,Monitor 24 inch,Electronics,"Amman, Jordan",5,149.99,749.95
ORD-10299,08-Jun-2025,Delta Retail,Notebook Set,Stationery,"Abu Dhabi, United Arab Emirates",3,14.90,44.70
ORD-10042,31-Jul-2025,Bright Office,Desk Lamp,Office Supplies,"Riyadh, Saudi Arabia",6,31.15,186.90
ORD-10288,07-Feb-2025,Cedar Group,Mechanical Keyboard,Electronics,"Giza, Egypt",4,71.75,287.00
ORD-10031,01-Apr-2025,Blue Wave,Wireless Mouse,Electronics,"Dubai, United Arab Emirates",7,25.25,176.75
ORD-10277,06-Jun-2025,Atlas Stores,Whiteboard,Office Supplies,"Cairo, Egypt",5,54.75,273.75
ORD-10020,29-Jul-2025,Horizon LLC,Filing Cabinet,Furniture,"Alexandria, Egypt",8,100.25,802.00
ORD-10266,05-Feb-2025,City Mart,Ergonomic Chair,Furniture,"Casablanca, Morocco",6,186.25,1117.50
ORD-10009,30-Mar-2025,Summit Co.,Notebook Set,Stationery,"Tunis, Tunisia",1,12.40,12.40
ORD-10255,04-Jun-2025,Nile Trading,USB-C Hub,Electronics,"Manama, Bahrain",7,43.75,306.25
ORD-10244,03-Feb-2025,Palm Market,Laptop Stand,Office Supplies,"Doha, Qatar",8,38.25,306.00
ORD-10223,12-Feb-2025,Blue Wave,Monitor 24 inch,Electronics,"Muscat, Oman",7,152.49,1067.43
ORD-10233,02-Jun-2025,Oasis Supplies,Monitor 24 inch,Electronics,"Amman, Jordan",1,149.99,149.99
ORD-10036,26-May-2025,Cedar Group,Ergonomic Chair,Furniture,"Beirut, Lebanon",8,188.75,1510.00
ORD-10222,01-Feb-2025,Bright Office,Desk Lamp,Office Supplies,"Riyadh, Saudi Arabia",2,31.15,62.30
ORD-10299,08-Jun-2025,Delta Retail,Notebook Set,Stationery,"Abu Dhabi, United Arab Emirates",3,14.90,44.70
ORD-10211,31-May-2025,Blue Wave,Wireless Mouse,Electronics,"Dubai, United Arab Emirates",3,25.25,75.75
ORD-10112,22-Jan-2025,Palm Market,Desk Lamp,Office Supplies,"Cairo, Egypt",4,33.65,134.60
ORD-10200,30-Jan-2025,Horizon LLC,Filing Cabinet,Furniture,"Alexandria, Egypt",4,100.25,401.00
ORD-10446,06-Apr-2025,City Mart,Ergonomic Chair,Furniture,"Casablanca, Morocco",2,186.25,372.50
ORD-10189,29-May-2025,Summit Co.,Notebook Set,Stationery,"Tunis, Tunisia",5,12.40,62.00
ORD-10435,03-Aug-2025,Nile Trading,USB-C Hub,Electronics,"Manama, Bahrain",3,43.75,131.25
ORD-10178,28-Jan-2025,Vertex Shop,Mechanical Keyboard,Electronics,"Muscat, Oman",6,69.25,415.50
ORD-10424,04-Apr-2025,Palm Market,Laptop Stand,Office Supplies,"Doha, Qatar",4,38.25,153.00
ORD-10167,27-May-2025,Delta Retail,Whiteboard,Office Supplies,"Kuwait City, Kuwait",7,57.25,400.75
ORD-10413,01-Aug-2025,Oasis Supplies,Monitor 24 inch,Electronics,"Amman, Jordan",5,149.99,749.95
ORD-10156,26-Jan-2025,Cedar Group,Ergonomic Chair,Furniture,"Beirut, Lebanon",8,188.75,1510.00
ORD-10402,02-Apr-2025,Bright Office,Desk Lamp,Office Supplies,"Riyadh, Saudi Arabia",6,31.15,186.90
ORD-10145,25-May-2025,Atlas Stores,USB-C Hub,Electronics,"Jeddah, Saudi Arabia",1,41.25,41.25
ORD-10391,30-Jul-2025,Blue Wave,Wireless Mouse,Electronics,"Dubai, United Arab Emirates",7,25.25,176.75
